symbol,exchange,company_name,isin,face_value,status,group,instrument,listing_date,market_lot,paid_up_value,security_code
AIRCOMI,BSE,Air Command India Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,523421
RCSVANP,BSE,RCS Vanaspati Industry Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,523423
SUNRAJDI,BSE,Sunraj Diamond Exports Ltd.,INE459D01014,10.00,Active,XT,Equity,,,,523425
TITANFO,BSE,"Titan Foods & Fashions Ltd.,",NA          ,10.00,Delisted,Z ,Equity,,,,523427
BSAPPLI,BSE,B S Appliances Ltd,INE312A01011,10.00,Delisted,B ,Equity,,,,523429
NWERURB,BSE,New Era Urban Amenities Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,523431
MGWLMAC,BSE,Mig-Weld & Machines Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,523433
POLMRMO,BSE,"Polar Marmo Agglomerates Ltd.,",NA          ,10.00,Delisted,Z ,Equity,,,,523435
SHWALEL,BSE,Shaw Wallace Electronics Ltd.,NA          ,10.00,Delisted,P ,Equity,,,,523439
VKRMPRJDM,BSE,"Vikram Projects Ltd.,",NA          ,10.00,Delisted,Z ,Equity,,,,523441
TMLNDHS,BSE,Tamilnad Hospital Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,523443
RIIL,BSE,Reliance Industrial Infrastructure,INE046A01015,10.00,Active,B ,Equity,,,,523445
ALSAMRN-B,BSE,Alsa Marine & Harvests Ltd,NA          ,10.00,Delisted,P ,Equity,,,,523447
SHARP,BSE,Sharp India Ltd,INE207B01011,10.00,Active,X ,Equity,,,,523449
RADMULT,BSE,Radan Multimedia Ltd.,NA          ,100.00,Delisted,Z ,Equity,,,,523451
TECPO,BSE,Techtran Polylenses Ltd.,INE020C01016,10.00,Delisted,Z ,Equity,,,,523455
LINDEINDIA,BSE,Linde India Limited,INE473A01011,10.00,Active,A ,Equity,,,,523457
ELETROLUXK,BSE,Electrolux Kelvinator Ltd,INE820A01021,10.00,Delisted,B ,Equity,,,,523461
INDBNK,BSE,Ind Bank Housing Ltd,INE969D01012,10.00,Active,B ,Equity,,,,523465
JAIMATAG,BSE,Jai Mata Glass Ltd.,INE250C01027,1.00,Active,X ,Equity,,,,523467
RAVIHTC,BSE,Ravi Hi-Tech Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,523469
GUJSSPN,BSE,Gujarat Suspension Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,523471
LOTUSCHO,BSE,Lotus Chocolate Co. Ltd.,INE026D01011,10.00,Active,B ,Equity,,,,523475
GUJRATGAS,BSE,Gujarat Gas Co. Ltd.,INE374A01029,2.00,Delisted,A ,Equity,,,,523477
PACIFICI,BSE,Pacific Industries ltd.,INE883C01025,10.00,Active,X ,Equity,,,,523483
CMMHOSP,BSE,Chennai Meenakshi Multispeciality Hospital Ltd.,INE889F01017,10.00,Active,XT,Equity,,,,523489
LUNRDMD,BSE,"Lunar Diamonds Ltd.,",NA          ,10.00,Delisted,Z ,Equity,,,,523491
PAMDIDM,BSE,Pampasar Distillery Ltd.,INE263D01010,10.00,Delisted,Z ,Equity,,,,523497
VITLFOD,BSE,"Vital Foods Ltd.,",NA          ,10.00,Delisted,Z ,Equity,,,,523501
GUJBXIT,BSE,Gujarat Bauxite Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,523505
AANKITG,BSE,Aankit Granites Ltd.,NA          ,10.00,Delisted,P ,Equity,,,,523511
VISHVEL,BSE,"Vishva Electronics (India) Ltd.,",NA          ,10.00,Delisted,Z ,Equity,,,,523513
SRLXMED,BSE,Surlux Mediquip Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,523515
UNIOFFICE,BSE,Universal Office Automation Limited,INE951C01012,10.00,Active,XT,Equity,,,,523519
RAINBOWPAP,BSE,Rainbow Papers Ltd.,INE028D01025,2.00,Suspended,Z ,Equity,,,,523523
SPPTROL,BSE,"Speciality Petrotubes Ltd.,",NA          ,10.00,Delisted,Z ,Equity,,,,523525
AVNCPRN,BSE,Avon Industries Ltd,NA          ,10.00,Delisted,P ,Equity,,,,523531
APMIN,BSE,APM Industries Ltd.,INE170D01025,2.00,Active,X ,Equity,,,,523537
PRECWIRE,BSE,Precision Wires India ltd.,INE372C01037,1.00,Active,B ,Equity,,,,523539
DYNALMP,BSE,Dyna Lamps & Glass Works Ltd.,-,10.00,Delisted,P ,Equity,,,,523542
MONEL,BSE,Monica Electronics Ltd.,INE568C01014,10.00,Suspended,Z ,Equity,,,,523544
HYDCONN,BSE,"Hyderabad Connectronics Ltd.,",NA          ,10.00,Delisted,Z ,Equity,,,,523548
KRYPTONQ,BSE,Krypton Industries Ltd,INE951B01014,10.00,Active,X ,Equity,,,,523550
SSIND-B1,BSE,S&S Industries & Enterprises Ltd.,NA          ,10.00,Delisted,P ,Equity,,,,523554
SWISSMLTRY,BSE,SWISS MILITARY CONSUMER GOODS LIMITED,INE010C01025,2.00,Active,X ,Equity,,,,523558
MRGNIND,BSE,Morgan Industries Ltd.,INE701E01017,10.00,Delisted,X ,Equity,,,,523564
MARBU,BSE,Martin Burn Ltd,INE199D01016,10.00,Active,X ,Equity,,,,523566
CNRTSPC,BSE,Concert Spices & Exports Ltd.,NA          ,10.00,Delisted,Z ,Equity,,,,523568
INTRUBI,BSE,Integrated Rubian Exports Ltd.,INE509D01016,10.00,Delisted,XD,Equity,,,,523572
FEL,BSE,Future Enterprises Limited,INE623B01027,2.00,Active,Z ,Equity,,,,523574
FLAWLESD,BSE,Flawless Diamond (India) Ltd.,INE345E01021,1.00,Delisted,X ,Equity,,,,523576
MURABLK,BSE,Murablack India Ltd,NA          ,10.00,Delisted,P ,Equity,,,,523578
SIPRD,BSE,"S. I. Property Development Ltd.,",INE503E01017,10.00,Delisted,Z ,Equity,,,,523580
INDTONER,BSE,Indian Toners & Developers Ltd.,INE826B01018,10.00,Active,X ,Equity,,,,523586
JENSONICOL,BSE,Jenson & Nicholson (India) Ltd.,INE819B01021,2.00,Delisted,XT,Equity,,,,523592
KUNSTOFF,BSE,Kunststoffe Industries Ltd.,INE638D01021,10.00,Active,X ,Equity,,,,523594
IRCONIN,BSE,IRCON International Ltd,NA          ,10.00,Delisted,T ,Equity,,,,523596
